date,BCG,MSH,PVD,VND,KDC,BMC,ACB,HPG,MBB,ANV,MSN,TLG,VNG,FRT,JVC,HHV,DAH,BWE,MPC,DGC,DPM,GEG,RAL,TCB,NSC,GVR,PVS,VCB,FPT,VRE,BID,PVC,TPB,NVL,KBC,SLS,VHM,REE,HAH,HCM,NBB,VIB,VHC,LTG,CTG,GAS,PHR,PLX,VPB,VJC,CII,ITA,DPR,DMC,PXS,PC1,MWG,SBT,BCM,DVP,PNJ,POW,CLC,LAS,BVH,SSI,SCS,DBC,HDB,GEX,FCN,AAA,VIC,SKG,SAB,STB,VNM,BMP,DHG,DCM,KDH,EIB,SHB
2019-01-20,2942.5,21807.5,10550.0,3597.5,19037.5,9945.0,9122.5,10242.5,8074.75,20757.5,65695.0,43455.0,20550.0,32795.0,3120.0,7420.0,6172.5,21282.5,14607.5,10622.5,13840.0,10247.5,49990.0,26600.0,66522.25,8445.0,14765.0,35670.0,18285.0,29575.75,21412.5,3895.0,8197.5,31932.25,9810.0,34382.5,58375.0,21265.0,4815.0,13527.5,17453.25,4992.5,41415.0,15250.0,12395.0,62212.5,26275.0,45437.5,6827.5,114965.25,22167.5,2987.5,12040.0,60445.0,4790.0,10377.5,27000.0,15870.0,20730.0,25720.0,46105.0,14809.75,22677.5,9072.5,79535.0,11602.5,60010.0,7507.5,9332.5,13502.5,11267.5,11464.75,90589.25,12022.5,107882.5,11262.5,90662.5,30347.5,69647.5,6752.5,15957.5,10382.5,3132.5
2019-01-27,3500.0,21822.0,10776.0,3692.0,17730.0,10298.0,9238.0,10424.0,8618.0,21576.0,64008.0,43574.0,20800.0,32378.0,3096.0,7420.0,6212.0,21460.0,15724.0,10688.0,13848.0,10216.0,50006.0,26810.0,66816.0,8362.0,15006.0,35798.0,18326.0,28313.4,21736.0,3848.0,8348.0,31770.8,9806.0,31052.0,57774.0,21772.0,4746.0,14150.0,16733.6,5022.0,43108.0,14676.0,13300.0,62334.0,26320.0,44466.0,7040.0,116219.2,21576.0,2828.0,12610.0,60942.0,4392.0,10170.0,26498.0,16071.4,20818.0,25192.0,46304.0,14719.0,22318.0,9050.0,79776.0,11666.0,60198.0,8438.0,9594.0,13538.0,11140.0,11313.8,91206.8,10592.0,106390.0,12020.0,91486.0,29562.0,71334.0,6450.0,15964.0,11200.0,3168.0
2019-02-03,3496.0,23122.0,11190.0,3682.0,17108.0,10428.0,9240.0,10058.0,8886.0,21416.0,63783.8,42152.0,20890.0,31967.8,3106.0,7420.0,6196.0,20926.0,15907.8,10240.0,13882.0,10298.0,49586.0,26600.0,67858.0,8700.0,15354.0,36390.0,18454.0,28391.0,21140.0,3862.0,8208.0,31726.2,9940.0,29996.0,58884.0,22274.0,4798.0,14094.0,16775.0,4888.0,40650.0,14766.0,13532.0,61186.0,26090.0,44252.0,7044.0,122107.4,21456.0,2736.0,12774.0,60650.0,4006.0,10448.0,26544.0,16063.8,20930.0,25494.0,47946.0,15615.6,22382.0,8840.0,82832.0,11856.0,60624.0,8486.0,9680.0,13542.0,11208.0,11298.2,91402.8,10476.0,106110.0,12220.0,92144.0,28148.0,71352.0,6282.0,16026.0,11786.0,3194.0
2019-02-10,3496.0,23122.0,11190.0,3682.0,17108.0,10428.0,9240.0,10058.0,8886.0,21416.0,63783.8,42152.0,20890.0,31967.8,3106.0,7420.0,6196.0,20926.0,15907.8,10240.0,13882.0,10298.0,49586.0,26600.0,67858.0,8700.0,15354.0,36390.0,18454.0,28391.0,21140.0,3862.0,8208.0,31726.2,9940.0,29996.0,58884.0,22274.0,4798.0,14094.0,16775.0,4888.0,40650.0,14766.0,13532.0,61186.0,26090.0,44252.0,7044.0,122107.4,21456.0,2736.0,12774.0,60650.0,4006.0,10448.0,26544.0,16063.8,20930.0,25494.0,47946.0,15615.6,22382.0,8840.0,82832.0,11856.0,60624.0,8486.0,9680.0,13542.0,11208.0,11298.2,91402.8,10476.0,106110.0,12220.0,92144.0,28148.0,71352.0,6282.0,16026.0,11786.0,3194.0
2019-02-17,3534.0,24422.0,11568.0,3916.0,17368.0,11156.0,9578.0,10650.0,9080.0,21946.0,67884.0,42856.0,21620.0,30670.0,3198.0,7420.0,6228.0,22108.0,16468.0,10688.0,14128.0,11136.0,50116.0,27320.0,70340.0,8646.0,15966.0,38168.0,19100.0,29517.6,21680.0,4144.0,8364.0,32060.4,10094.0,29552.0,58724.0,23250.0,4998.0,15676.0,15464.4,4994.0,41304.0,14778.0,13894.0,63926.0,27566.0,46584.0,7520.0,123118.8,21632.0,2800.0,13532.0,60160.0,4107.8,10716.0,27082.0,16402.0,21502.0,25560.0,49384.0,16083.2,22270.0,8790.0,84062.0,12292.0,61646.0,8406.0,9884.0,14188.0,11896.0,12043.4,97232.8,10746.0,107806.0,12980.0,94096.0,30076.0,74144.0,6328.0,16228.0,12718.0,3442.0
2019-02-24,3342.0,25682.0,12084.0,3962.0,17944.0,11142.0,9590.0,11404.0,9118.0,22092.0,70616.0,44308.0,21760.0,29018.0,3114.0,7420.0,6226.0,21338.0,16285.4,10666.0,13686.0,11164.0,51022.0,27530.0,68320.0,8612.0,16441.8,38714.0,19324.0,31926.4,22512.0,4128.0,8274.0,32372.0,10370.0,31810.0,65454.0,23722.0,4982.0,16606.0,15597.0,5276.0,41120.0,15162.0,13820.0,67358.0,29272.0,47988.0,7522.0,119272.4,21308.0,2754.0,13978.0,60158.0,4022.0,10556.0,27710.0,16423.8,21858.0,24218.0,50032.0,15959.0,22594.0,8628.0,83392.0,12546.0,61704.0,8112.0,9632.0,14778.0,11832.0,11886.6,103383.4,10668.0,111118.0,12970.0,98456.0,30238.0,83026.0,6380.0,16538.0,12212.0,3374.0
2019-03-03,3186.0,26106.0,11906.0,4040.0,17772.0,11110.0,9616.0,12030.0,9048.0,21882.0,72720.0,43576.0,21610.0,28846.0,3078.0,7420.0,6234.0,21896.0,16061.8,10788.0,12858.0,10992.0,50118.0,27100.0,69344.0,8714.0,17138.0,40104.0,19402.0,33004.8,22228.0,3888.0,8244.0,32906.6,10340.0,31728.0,66330.0,23590.0,4862.0,18238.0,14983.0,5254.0,42394.0,15290.0,14074.0,68476.0,32485.8,47510.0,7452.0,120898.2,22018.0,2702.0,14362.0,61024.0,3880.0,10410.0,27932.0,16007.8,23326.0,23980.0,50000.0,15615.4,22410.0,8398.0,82672.0,12860.0,61678.0,7856.0,9788.0,15362.0,12012.0,11925.8,102796.8,10618.0,111510.0,12670.0,98850.0,31506.0,97206.0,6318.0,16500.0,12422.0,3374.0
2019-03-10,3176.0,25778.0,12834.0,4071.8,19480.0,11160.0,9598.0,12162.0,9100.0,22272.0,72672.0,43674.0,22170.0,27822.0,3086.0,7420.0,6318.0,22508.0,15458.0,11108.0,12996.0,11624.0,51894.0,26720.0,70504.0,9018.0,17966.0,40542.0,19344.0,33558.2,22936.0,4078.0,8240.0,32316.4,10524.0,36166.0,66954.0,23770.0,4940.0,18016.0,15231.8,5334.0,42842.0,15318.0,14212.0,71418.0,33696.0,50054.0,7510.0,119748.0,21698.0,2854.0,14514.0,62526.0,4682.0,10442.0,27842.0,15438.0,23474.0,24398.0,50782.0,15978.2,22320.0,8366.0,85098.0,13062.0,61754.0,7478.0,9800.0,14934.0,12746.0,12859.8,104823.0,10966.0,110708.0,12700.0,95414.0,32627.8,100612.0,6470.0,16694.0,12288.0,3428.0
2019-03-17,3106.0,25758.0,12766.0,4121.8,19964.0,11046.0,9856.0,11786.0,9216.0,21172.0,71618.0,43202.0,22860.0,26812.0,3286.0,7420.0,6680.0,23084.0,15468.0,10786.0,12874.0,12438.0,53750.0,26800.0,70850.0,9142.0,17664.0,41986.0,19830.0,36035.2,23778.0,4142.0,8300.0,34031.4,10784.0,39562.0,67556.0,24056.0,5224.0,18504.0,15248.4,5470.0,40642.0,16694.0,14818.0,70672.0,36146.0,50884.0,7626.0,118757.0,22482.0,3032.0,15100.0,61220.0,4654.0,10580.0,28076.0,15366.0,22716.0,24860.0,51810.0,15663.6,22396.0,8538.0,84166.0,13248.0,62668.0,7254.0,9936.0,14634.0,12654.0,12828.2,105214.4,10956.0,114652.0,12800.0,93580.0,32604.0,100492.0,6462.0,16618.0,12450.0,3544.0
2019-03-24,3134.0,25250.0,12552.0,3932.0,19028.0,10890.0,9806.0,11218.0,9394.0,20740.0,69366.0,42346.0,23050.0,24820.0,3406.0,7420.0,7160.0,23862.0,16082.0,10550.0,12684.0,13752.0,53020.0,26520.0,70436.0,10470.0,17818.0,43148.0,19654.0,35228.8,24008.0,4480.0,8338.0,32327.4,10586.0,38046.0,66998.0,23148.0,5226.0,18400.0,15497.6,5416.0,40060.0,16374.0,15236.0,71938.0,39294.0,50388.0,7632.0,118320.8,23122.0,3192.0,14586.0,61792.0,4562.0,10770.0,28014.0,14862.0,22472.0,24812.0,51906.0,14881.2,22312.0,8626.0,84254.0,12860.0,68138.0,7604.0,10098.0,14442.0,12364.0,12671.2,106316.4,10958.0,113210.0,12680.0,93144.0,31268.0,101284.0,6514.0,16738.0,12324.0,3488.0
2019-03-31,3220.0,24790.0,12050.0,3836.0,18292.0,10786.0,9572.0,11220.0,9186.0,20012.0,67958.0,41546.0,23930.0,22742.0,3184.0,7420.0,7742.0,23132.0,16696.0,10534.0,12384.0,14158.0,53942.0,25600.0,72898.0,10788.0,16940.0,42618.0,19422.0,32752.4,23370.0,4544.0,8272.0,31381.0,10122.0,37086.0,66094.0,22278.0,5022.0,17410.0,15912.2,5252.0,39062.0,16372.0,14968.0,69208.0,37052.0,48498.0,7182.0,116576.4,22778.0,3200.0,13248.0,60810.0,4256.0,10088.0,26720.0,14694.0,23120.0,24432.0,50668.0,14413.6,22626.0,8398.0,83692.0,12296.0,67640.0,7540.0,9688.0,14248.0,11970.0,12890.8,102139.0,10662.0,113860.0,12250.0,92280.0,29658.0,101766.0,6304.0,16668.0,12364.0,3350.0
2019-04-07,3532.0,25268.0,13054.0,3842.0,18924.0,10872.0,9554.0,11290.0,9286.0,20114.0,71248.0,41422.0,23560.0,24992.0,3306.0,7716.0,7630.0,23080.0,17132.0,10414.0,12018.0,15526.0,54192.0,25470.0,70694.0,10574.0,17968.0,43624.0,20276.0,34753.0,23536.0,4748.0,8876.0,31258.6,10402.0,35768.0,67204.0,22334.0,5030.0,16984.0,15680.0,5394.0,39618.0,16372.0,14684.0,71894.0,38664.0,50302.0,7082.0,112868.4,23066.0,3256.0,13850.0,59278.0,4860.0,10414.0,26598.0,14758.0,23620.0,24344.0,50884.0,14604.4,22686.0,8350.0,82498.0,12504.0,67774.0,7528.0,9302.0,14490.0,12320.0,13644.2,102725.6,10640.0,112976.0,12280.0,93756.0,30058.0,102162.0,6370.0,17100.0,12194.0,3390.0
2019-04-14,3682.0,27294.0,13508.0,3852.0,18478.0,10908.0,9612.0,11250.0,9346.0,21278.0,70940.0,41296.0,22040.0,25102.0,3336.0,8900.0,7542.0,22552.0,17512.0,9742.0,11620.0,16282.0,53992.0,25140.0,70958.0,10308.0,19072.0,44474.0,20494.0,34024.4,23538.0,4720.0,8844.0,31514.8,10518.0,34580.0,68150.0,22504.0,5160.0,17100.0,15273.2,5418.0,40768.0,16206.0,14710.0,74782.0,37770.0,50782.0,6968.0,111619.4,22686.0,3134.0,13944.0,58166.0,5538.0,10418.0,26342.0,14924.0,22156.0,24320.0,51096.0,14508.8,22484.0,8366.0,82464.0,12504.0,68172.0,7670.0,9066.0,14352.0,12682.0,14774.0,101054.8,10400.0,112318.0,12150.0,92234.0,30080.0,100836.0,6306.0,16812.0,12330.0,3374.0
